NCT ID,Brief Title,Overall Status,Phase,Start Date,Completion Date,Sponsor,Study Type,Enrollment,Interventions,Brief Summary
"NCT04578236","Efficacy of Aerosol Combination Therapy of 13 Cis Retinoic Acid and Captopril for Treating Covid-19 Patients Via Indirect Inhibition of Transmembrane Protease, Serine 2 (TMPRSS2)","UNKNOWN","Phase 2","2020-11","2021-01","Kafrelsheikh University","INTERVENTIONAL","360","COMBINATION_PRODUCT: Aerosolized 13 cis retinoic acid plus Inhalation administration by nebulization captopril 25mg; DRUG: Drug: Standard treatment Standard treatment","Efficacy of Aerosol Combination Therapy of 13 Cis Retinoic Acid and Captopril for Treating Covid-19 Patients Via Indirect Inhibition of Transmembrane Protease, Serine 2 (TMPRSS2)

Severe acute respiratory syndrome coronavirus 2 (SARS-COV-2) has infected over 20,000,000 people causing over 700,000 deaths. It has no currently approved treatments.Airborne SARS-CoV-2 infections in humans initiate from the virus entering nasal and airway epithelial cells through binding to angiotensin-converting enzyme 2 (ACE2). Transmembrane protease, serine 2 (TMPRSS2), a cellular protease that activates the SARS-CoV-2 spike protein, colocalizes with ACE2 and can prime SARS-CoV-2 fusion directly at the plasma membrane. Transmembrane protease, serine 2 (TMPRSS2) is an androgen receptor signaling target gene and an androgen-regulated cell-surface serine protease expressed predominantly in prostate and lung epithelial cell. TMPRSS2 is normally expressed several folds higher in the prostate relative to any other human tissue, though the normal physiological function(s) remains unknown. A study found that dihydrotestosterone (DHT) s a potent activator of TMPRSS2.On the other hand, Feily et al noted that low-dose isotretinoin (0.5 mg/kg/day for 15-20 weeks) in PCO patients with moderate to severe nodulocystic acne resulted in significant decreases in levels of serum total testosterone, prolactin, and dihydrotestosterone A study demonstrated that 13- cis -Retinoic acid competitively and reversibly inhibits dihydrotestosterone. Therefore, we suggest that 13- cis -Retinoic acid will downregulate TMPRSS2 expression thorough temporary preventing the effect of dihydrotestosterone (DHT) on the activation of TMPRSS2 gene expression. ACE inhibitors and ARBs are commonly taken by heart patients to reduce blood pressure and to treat heart failure.Earlier studies had cautioned that this class of drugs could possibly increase the risk for the novel coronavirus, SARS-CoV-2, infection and elevate COVID-19 severity. There is conflicting observational evidence about the potential clinical impact of ACE inhibitors and ARBs on patients with COVID-19. Select preclinical investigations have raised concerns about their safety in patients with COVID-19. On the other hand, Preliminary data hypothesise that angiotensin-converting enzyme (ACE) inhibitors and renin-angiotensin- aldosterone system (RAAS) inhibitors could benefit patients with COVID-19 by decreasing acute lung damage and preventing angiotensin-II-mediated pulmonary inflammation. Here in our review, we use established and emerging evidence based on the findings of previous studies and researches to propose that ACE inhibitors may benefit patients with COVID-19 via attenuating and abolishing the effect of androgenic hormones on inducing the expression of Transmembrane protease, serine 2 (TMPRSS2), even though, at the same time, ACE inhibitors cause an increase in the human cell surface receptor protein ACE2 which the novel coronavirus uses to enter and infect cells. A study on hypertensive rats demonstrated that using ACE inhibitors(captopril) abolished and attenuated the effect of dihydrotestosterone (DHT). In this study RAS inhibition exhibited beneficial effects on androgen-induced obesity and abolished the androgen-mediated increase in blood pressure (BP) observed in this model of PCOS. (83 ± 1 vs 115 ± 3 mmHg, p\<0.0001). A another study found that the angiotensin converting enzyme inhibitor captopril abolished testosterone effect and attenuates testosterone-induced benign prostatic hyperplasia in rats; a mechanistic approach. Captopril is a potent inhibitor of the angiotensin converting enzyme. These effects of testosterone were almost prevented by captopril (100 mg/kg). In conclusion, generally treatment with ACE inhibitors is associated with reduced androgen levels. Therefore,we think that Transmembrane protease, serine 2 (TMPRSS2) is an indirect target of ACE inhibitors and 13 cis retinoic acid As aresult, we hypothesize that any drug which downregulates TMPRSS2 expression through targeting AR, AR co-regulatory factors, or AR downstream transcription factors might be potentially effective against COVID-19 and is worth investigating under a clinical trial..

Keywords: COVID -19, Transmembrane protease, serine 2 (TMPRSS2), ACE inhibitors, ACE2."
"NCT06022211","Post-COVID-19 Condition: Observational Study in Vietnam","UNKNOWN","","2023-12","2024-12","ANRS, Emerging Infectious Diseases","OBSERVATIONAL","835","","The primary objective of this study is to estimate the prevalence of the post-COVID-19 condition in confirmed mild, moderate, and severe COVID-19 adult patients in Hai Phong, Vietnam."
"NCT05244044","Pulmonary Rehabilitation for Long COVID (Post COVID-19 Condition)","COMPLETED","N/A","2022-04-19","2024-02-29","University Hospital, Antwerp","INTERVENTIONAL","76","OTHER: Pulmonary rehabilitation in primary care","In the PuRe COVID study (a randomized, controlled, multicenter, pragmatic trial) the investigators aim to assess the effect of a pulmonary rehabilitation program in primary care on exercise capacity (6MWT) and daily life physical activity in patients with long COVID.

134 patients with long COVID, defined by self-reported persistent COVID related symptoms ≥6 weeks after COVID-19 infection and a positive symptom score (CAT score ≥10 or mMRC score ≥2 or CIS-fatigue ≥36 or PCFS score of ≥2), will be recruited and divided into an intervention group or a control group. The intervention group will get twelve weeks of primary care pulmonary rehabilitation (PR) including coaching by primary care physiotherapists. The control group consists of usual care, which does not include a pulmonary rehabilitation program.

This study will help determine whether the type of symptoms or affected body system can impact recovery form long covid during rehabilitation and after follow-up. The investigators will analyze determinants and risk factors that characterize non-responders and non-adherers to better understand which patients with long COVID benefit from rehabilitation."
"NCT04353206","Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure","TERMINATED","Early Phase 1","2020-06-27","2020-11-01","Noah Merin","INTERVENTIONAL","6","BIOLOGICAL: Multiple Doses of Anti-SARS-CoV-2 convalescent plasma","This study will assess the feasibility of administering multiple doses of convalescent plasma (from people who have recovered form SARS-CoV-2) to Covid-19 positive patients in the Intensive Care Unit receiving mechanical ventilation. Donor plasma will not be obtained under this protocol, but all plasma used will follow FDA guidelines for Investigational COVID-19 Convalescent Plasma use.

Patients may receive single or double plasma units infused on days 0, 3, and 6. This decision may be based on availability of blood plasma. The primary objective of this study is feasibility. Feasibility will be assessed based on the proportion of subjects who consent and receive at least one dose of convalescent plasma. The study will be declared 'feasible' if at least 80% of subjects who consent receive at least one dose.

The secondary study endpoint is overall survival at day 60 after first dose of convalescent plasma. Respiratory status and overall clinical status will be reviewed during follow up on days 14, 28, and 60."
"NCT04413006","Self-compassion for Chronic Pain Virtual Group Treatment Program","UNKNOWN","N/A","2020-05-25","2021-03-31","University of Manitoba","INTERVENTIONAL","28","BEHAVIORAL: Self-Compassion for Chronic Pain Virtual Group Treatment Program","As a result of COVID-19 and measures taken by the Canadian Government to reduce the transmission of the virus, in-person psychology services have been suspended. Psychology services are now being conducted via video conferencing. The purpose of the current project is to pilot-test a 6-week Self Compassion Treatment for Chronic Pain delivered virtually, in order to understand its utility in the current environment. The treatment is to be delivered through a secure professional ZOOM licence. Objective 1 of the project is to assess the feasibility and acceptability of attending the treatment group through virtual participation. Objective 2 is to assess the effectiveness of the group treatment in improving self-compassion, mental health, relationship with pain, and quality of life."
"NCT04844658","Covid-19, Hospitalized, PatIents, Nasafytol","COMPLETED","N/A","2021-02-17","2022-03-31","Tilman S.A.","INTERVENTIONAL","51","DIETARY_SUPPLEMENT: NASAFYTOL®; DIETARY_SUPPLEMENT: FULTIUM® -D3 800; DRUG: Strandard of care treatment","The objective of this study is to evaluate the effect and safety of NASAFYTOL® on COVID-19 positive hospitalized patients as a supportive supplementation to standard-of-care in improving clinical parameters safely during hospital admission (maximum 14 days).

The study is a standard-of-care comparative, open, parallel two-arms and randomized trial in 50 adult patients positive to COVID-19 infection and hospitalized. It will be monocentric but may be extended to several investigation sites (multicentric) depending on the evolution of the epidemic within the hospitals."
"NCT04767958","The RAPID COVID Study - Application of Point-of-Care COVID-19 Testing","TERMINATED","N/A","2021-03-19","2021-08-31","Ottawa Heart Institute Research Corporation","INTERVENTIONAL","89","DIAGNOSTIC_TEST: Spartan COVID-19 Platform","This study is being conducted to study the use and application of a point-of-care (POC) Covid-19 test developed by Spartan BioSciences and recently approved for clinical use by Health Canada."
"NCT04864548","COV-CHIM01: SARS-CoV-2 (COVID-19) Dose Finding Infection Study","UNKNOWN","Phase 1","2021-05-27","2024-03","University of Oxford","INTERVENTIONAL","132","BIOLOGICAL: SARS-CoV-2 virus","A phase I, experimental dose finding, open label, clinical infection, safety and viral detection optimisation in previously SARS-CoV-2 infected (unvaccinated or vaccinated) or uninfected vaccinated volunteers."
"NCT04358926","Hyperbaric Oxygen Therapy Effect in COVID-19 RCT (HBOTCOVID19)","COMPLETED","N/A","2020-04-30","2020-11-01","Assaf-Harofeh Medical Center","INTERVENTIONAL","30","DEVICE: Hyperbaric oxygen therapy","The 2019-20 coronavirus disease, caused by COVID-19, is an ongoing pandemic.So far, no specific treatment has proven efficacy. Recent case series reported the use of Hyperbaric Oxygen Therapy (HBOT) on 5 severe COVID-19 patients who developed respiratory insufficiency. HBOT mechanisms of tissue oxygenation and anti-inflammatory effect may explain these findings.

The purpose of the current study is the evaluate the efficacy of HBOT in moderate-severe COVID-19 patients in a randomized controlled manner."
"NCT04411511","COVID-19, Obesity and Lifestyle in Children","UNKNOWN","","2020-05-06","2022-12-12","Maastricht University Medical Center","OBSERVATIONAL","4000","OTHER: Exposure to the Dutch measures due to the Covid-19 pandemic.","This study aims to evaluate the impact of the COVID-19 pandemic and its measures on lifestyle in Dutch children between 4 - 18 years."
"NCT04993534","RESPOND: Improving the Preparedness of Health Systems to Reduce Mental Health and Psychosocial Concerns Resulting From the COVID-19 Pandemic","UNKNOWN","N/A","2021-12-14","2023-05","Universita di Verona","INTERVENTIONAL","212","BEHAVIORAL: Stepped-care DWM/PM+; OTHER: Psychological First Aid + usual care (CAU)","This randomized controlled trial will evaluate the implementation and (cost-)effectiveness of the culturally and contextually adapted Doing What Matters in times of stress (DWM) and Problem Management Plus (PM+) stepped-care programs amongst asylum seekers, refugees, and/or migrants living in Italy. Outcomes include mental health, resilience, wellbeing, health inequalities, and costs to health systems."
"NCT04977934","Clinical, Molecular and Functional Biomarkers for PROgnosis, Pathomechanisms and Treatment Strategies of COVID-19","UNKNOWN","","2021-01-20","2023-06-30","Charite University, Berlin, Germany","OBSERVATIONAL","94","","The aim of the joint project PROVID is to contribute to better outcome prediction for COVID-19 patients, to better clinical management, and to the development of new therapies. To this end, the investigators will collect detailed data on the course of COVID-19 patients and deeply characterize them at the molecular level. The investigators also aim to identify compounds with the potential to improve outcome.

The PROVID-PROGRESS study is being carried out as a prospective, longitudinal, multicenter observational study (case cohort study) with material asservation for genomic, transcriptomic and proteomic analyzes on adult patients with COVID-19."
"NCT04818463","Characterization and Verification of the Intensive Care Standard Operating Procedure (SOP) Adherence of the Treated COVID-19 Patients","COMPLETED","","2021-04-01","2023-06-21","Charite University, Berlin, Germany","OBSERVATIONAL","162","","As part of the internal quality management (QM project), this retrospective cohort study examines the adherence to Standard Operating Procedures (SOP) of the COVID-19 patients treated since January 1st, 2020 to February 28th, 2021 in intensive care units of the Clinic for Anesthesiology m.S. operative intensive care medicine CCM / CVK."
"NCT04586114","Effect of Corticosteroid Treatment on Prognosis in ARDS Secondary to Covid-19","UNKNOWN","","2020-03-01","2020-12-31","Central Hospital, Nancy, France","OBSERVATIONAL","200","DRUG: Corticosteroids and Derivatives","Study conducted on hospitalized patient in critical ill units in Nancy and Metz to evaluate if early corticosteroid treatment in first seven days after admission improve patients outcome in Acute Respiratory Distress Syndrome secondary to Covid-19 compared to later corticosteroid therapy or no treatment. Also comparison of acquired infection with or without corticosteroid treatment during hospitalisation."
"NCT04725084","Comparison of Non-invasive Oxygenation Strategies in Patients Admitted for Covid-19 Acute Respiratory Distress Syndrome","COMPLETED","","2020-07-01","2020-12-15","Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer","OBSERVATIONAL","355","OTHER: Use of High Flow Nasal Cannula alone; OTHER: Use of Non-invasive Ventilation; OTHER: Use of Continuous Positive Airway Pressure","Acute Respiratory Distress Syndrome (ARDS) is the main clinical presentation of SARS-CoV-2 (Covid-19) infected patients admitted in Intensive Care Unit (ICU).

During the first phase of the outbreak (between February and May 2020), the use of invasive Mechanical Ventilation (MV) was largely required with 63% of ICU patients intubated in the first 24 hours after admission and up to 80% of patients during the overall ICU stay. Mortality was especially higher when using MV in the first 24 hours. In contrast, the use of non-invasive oxygenation strategies in the first 24 hours was only 19% for High Flow Nasal Cannula oxygen therapy (HFNC) and 6% for Non-Invasive Ventilation (NIV).

Several non-invasive oxygenation strategies were proposed in order to delay or avoid MV in ICU patients suffering from Covid-19 ARDS. The use of HFNC became the recommended oxygenation strategy, based in particular on publications prior to the outbreak. The use of NIV or Continuous Positive Airway Pressure (CPAP) combined with HFNC have also been proposed. Although these non-invasive oxygenation strategies seem widely used in the second phase of the outbreak, they have not yet confirmed their clinical impact on MV requirement and patient's outcome. Moreover, no comparison has been made between these different non-invasive oxygenation strategies.

The aim of this study is to compare different non-invasive oxygenation strategies (HFNC, NIV, CPAP) on MV requirement and outcome in ICU patients treated for ARDS related to Covid-19."
"NCT04390152","Safety and Efficacy of Intravenous Wharton's Jelly Derived Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome Due to COVID 19","TERMINATED","Phase 1, Phase 2","2020-01-13","2022-03-03","BioXcellerator","INTERVENTIONAL","6","DRUG: Wharton's jelly derived Mesenchymal stem cells.; DRUG: Hydroxychloroquine, lopinavir/ritonavir or azithromycin and placebo (standard therapy)","Recent COVID 19 pandemic has overwhelmed health services all around the world, and humanity has yet to find a cure or a vaccine for the treatment of patients, mainly the severe ones, who pose a therapeutic challenge to healthcare professionals given the paucity of information we have regarding SARS-CoV-2 pathogenesis.

Recently, reports mainly from China from patients treated with mesenchymal stem cells have shown promise in accelerating recovery, even in the critically ill and the therapy has sustained an increase in research because of it's powerful immunomodulatory effects, making it and interesting alternative in patients with lung and systemic inflammation.

These effects could help treat a lot of patients and improve their outcomes, reason why phase I/II studies are needed to show their safety and experimental efficacy."
