NCT ID,Brief Title,Overall Status,Phase,Start Date,Completion Date,Sponsor,Study Type,Enrollment,Interventions,Brief Summary
"NCT05197647","Cohort Study for the Assessment of Long-term Impact of COVID-19 Among Mild COVID-19 Patients in Brazil","UNKNOWN","","2022-01-25","2024-07-20","Hospital Moinhos de Vento","OBSERVATIONAL","1085","OTHER: Patients with symptomatic COVID-19 disease not requiring hospitalization.","The present prospective cohort study aims to assess factors associated with of one-year health-related quality of life and physical, cognitive and mental health outcomes among adult patients with mild COVID-19. Adult patients with symptomatic COVID-19 not requiring hospitalization will be followed through structured and centralized telephone interviews performed at 1, 3, 6, 9 and 12 months after enrollment."
"NCT04471649","Hydroxy Chloroquine and Covid in RA Patients","UNKNOWN","","2020-06-15","2020-11","Tanta University","OBSERVATIONAL","80","","evaluation of the clinical course of COVID-19 in a cohort of patients with rheumatoid arthritis treated with or without hydroxychloroquine."
"NCT05115526","PEEP Setting in COVID19-related ARDS","COMPLETED","","2021-03-01","2021-05-01","Central Hospital, Nancy, France","OBSERVATIONAL","17","OTHER: PEEP setting","The best way to titrate positive end-expiratory pressure (PEEP) in patients suffering from acute respiratory distress syndrome is still matter of debate. Electrical impedance tomography (EIT) in a non-invasive technique that could guide PEEP setting based on an optimized ventilation homogeneity."
"NCT04642326","Study Investigating the Effects of UVC Beam and Laser Beam Therapy According to Standard Therapy in Patients With Covid-19 Diagnosis","UNKNOWN","N/A","2020-06-26","2021-05-04","RD Global Araştirma Geliştirme Sağlik Ilaç Inşaat Yatirimlari A.Ş.","INTERVENTIONAL","50","DEVICE: Test Group: experimental - UVC Therapy applied","Clinical research study that evaluates the effect of Turkish Beam-Selective UV developed by RD GLOBAL ARAŞTIRMA GELİŞTİRME SAĞLIK İLAÇ İNŞAAT YATIRIMLARI A.Ş. use into Intravascular, Intrapulmonary, Intratracial, Intrarespiratory area. Bacteria, Fungal and Virus-based pathogens systematically to collect and evaluate specific clinical performance and safety data.

This Clinical Research aims to investigate the effectiveness of the treatment group and control group mortality rates, intensive care hospitalization times, monitoring the virus load by PCR, and the treatment effectiveness of UVC application.

This Clinical Research covers determining the treatment effectiveness and reliability of UVC application to patient groups, the details of which are determined in the protocol."
"NCT04503525","Nutritional Assessment of Hospitalized Patients With COVID-19","COMPLETED","","2020-05-25","2021-06-30","Lille Catholic University","OBSERVATIONAL","90","OTHER: Nutritional assessment","The nutritional consequences of the infection by the SARS-CoV-2 are as follows:

* A severe respiratory infection induces an inflammatory syndrome and hypercatabolism, as well as an increase in energy expenditure related to ventilatory work; nutritional requirements (calories and protein) are therefore increased.
* Food intake is often reduced by several factors: anorexia secondary to infection, respiratory discomfort, anosmia, ageusia, obesity, stress, confinement, organizational problems limiting meal assistance.

Then, it is important to asses the nutritional status of COVID patients hospitalized in conventional COVID units (excluding intensive care)."
"NCT04673149","GLS-5310 Vaccine for the Prevention of SARS-CoV-2 (COVID-19)","COMPLETED","Phase 1, Phase 2","2020-12-31","2023-05-10","GeneOne Life Science, Inc.","INTERVENTIONAL","171","BIOLOGICAL: GLS-5310; BIOLOGICAL: Placebo","This clinical trial will evaluate the safety, tolerability and immunogenicity of GLS-5310 DNA vaccine against SARS-CoV-2(COVID-19) in healthy volunteers."
"NCT06303635","Safety of UFRJvac, Trivalent COVID-19 Vaccine","UNKNOWN","","2024-06-24","2025-11-25","Azidus Brasil","OBSERVATIONAL","156","","Phase I study to evaluate the safety and immunogenicity of the vaccine booster with the trivalent UFRJvac COVID-19 vaccine."
"NCT05197608","At-risk and vulNerable Individuals To Infection With COVID-19 and ProActive inTervention With intEgrated Health and Social Care","UNKNOWN","N/A","2022-02-25","2024-03","Unity Health Toronto","INTERVENTIONAL","180","OTHER: System Navigator; OTHER: Tailored list of resources","This randomized control trial aims to explore a data-driven, proactive approach to identifying patients at greatest risk during the pandemic, and assess the impact of an embedded System Navigator in a primary health care setting. The System Navigator works one-on-one with patients to identify and provide support to their biological, psychological and social needs (e.g. income, housing, food security). Investigators are doing this study to find out whether proactive identification of vulnerable patients and linking to a System Navigator leads to reduction in emotional distress associated with managing complex health conditions and unmet social needs during COVID-19, compared to usual care.

Investigators will involve approximately 180 patients from primary care clinics that are a part of the University of Toronto Practice-Based Research Network (UTOPIAN). The information from this study will be used to help us understand how proactive engagement within a primary health setting can help to improve the health of patients during COVID-19, and beyond."
"NCT04713540","Rehabilitation in Intensive Care Unit","UNKNOWN","","2021-01-01","2021-05-01","Bakirkoy Dr. Sadi Konuk Research and Training Hospital","OBSERVATIONAL","58","","It was aimed to evaluate the respiratory functions of patients who were hospitalized in intensive care due to Covid-19 and given respiratory rehabilitation, in-bed positioning, and early mobilization, and the time of leaving the intensive care unit."
"NCT06522750","Periodic Fasting for Treatment of Long Covid in Adults: a Pilot Study","RECRUITING","N/A","2025-02-19","2025-09-30","University of Luxembourg","INTERVENTIONAL","20","OTHER: 7-day ambulatory caloric restriction intervention using the Buchinger-Wilhelmi method","Background:

Long COVID, characterized by persistent symptoms following acute COVID-19 infection, has emerged as a significant public health concern. Symptoms range from fatigue, cognitive impairments, to respiratory difficulties, affecting patients\&#39; quality of life. Dietary interventions, particularly fasting, have historically been used to modulate immune responses and improve health outcomes in various conditions. The Buchinger-Wilhelmi method represents a structured and medically supervised fasting approach. Given the inflammatory nature of long COVID, fasting may offer therapeutic benefits by modulating the immune response, enhancing cellular repair mechanisms, and resetting metabolic processes.

Objectives:

This clinical trial aims to assess the feasibility of a 7-day ambulatory fasting intervention using the Buchinger-Wilhelmi method on long COVID patients as primary objective. As secondary objectives, the study will investigate the potential beneficial impact of fasting on clinical, biological, and psychological parameters over a period of 4 weeks, offering insights into potential therapeutic avenues for long COVID management.

Study timeline:

The research will span a period of 4 weeks

Study population:

This study aims to recruit around 20 participants, who will all receive a fasting intervention using the Buchinger-Wilhelmi method.

Biological sample and data collection:

Participants will undergo various data and sample collection procedures, including blood draws of up to 90 42 ml per visit, collection of peripheral mononuclear cells, stool samples, and completion of questionnaires in a smartphone-based Application (MyCap).

Sample analysis:

The collected samples will be subjected to a range of analyses, including the assessment of serological markers for routine blood chemistry, evaluation of inflammation markers, and examination of stool samples."
"NCT04902118","Burnout Determinants Among Pediatric Psychiatry Workers During COVID-19 Crisis","COMPLETED","","2020-02-10","2021-12-30","University Hospital, Montpellier","OBSERVATIONAL","300","","Burnout among health workers is at core of our current preoccupations because of the health crisis we're going trough. Indeed, COVID-19 epidemic had terrible consequences not only on global mental health both in adults and children, but also on Health workers mental health. The investigators chose to consider Pediatric Psychiatry workers because of their particular position in this crisis.

The aim of the study is to point out burnout determining factors among Pediatric Psychiatry workers in Occitanie during COVID-19 crisis, by the use of an online questionnaire including the Copenhagen Burnout Inventory."
"NCT04840082","Optimal Length for Nasal Mid-turbinate and Nasopharyngeal Swabs","COMPLETED","N/A","2021-03-07","2021-03-08","Rigshospitalet, Denmark","INTERVENTIONAL","109","DIAGNOSTIC_TEST: Nasopharyngeal swab for COVID-19 testing","This study aim to explore the optimal swap insertion length for mid-turbinate and nasopharyngeal samples. Our clinical trial took place at a Covid-19 test center in Copenhagen. Participants consisted of voluntary citizens who were at the test center for a nasopharyngeal antigen quicktest. An endoscopic examination was performed simultaneous with the swap to measure the length from the vestibulum nasi to the posterior wall of the nasopharynx and the mid-turbinate."
"NCT04736524","Immune Response Following COVID-19 Vaccination","UNKNOWN","","2021-01-15","2022-03","Texas Cardiac Arrhythmia Research Foundation","OBSERVATIONAL","500","OTHER: Rapid antibody test","Few trials have reported the safety and efficacy of the COVID-19 vaccines. However, these trials were mostly focused on post-vaccination adverse events and short-term antibody detection with none monitoring the presence of immunoglobulin G (IgG) in blood at long-term follow-up after the vaccination. This study aims to evaluate the immune response in post-vaccinated individuals across a follow-up period of one year."
"NCT04425707","Ivermectin In Treatment of COVID 19 Patients","UNKNOWN","N/A","2020-06-09","2020-09-01","Ministry of Health and Population, Egypt","INTERVENTIONAL","100","DRUG: Ivermectin","as Egypt suffered a lot during the pandemic of COVID 19 with limited drug choices, many of the patients could not acheive viral clearence with the standard module of care teh idea of introduction of new medications in the treatment protocol of COVID 19 managment. Ivermectin had shown a promising results in vitro studies and in limited in vivo studies. this clinical trial may open a new hope for COVID 19 patients as a new and cheap line of treatment"
"NCT04363736","A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia","COMPLETED","Phase 2","2020-05-05","2020-08-12","Hoffmann-La Roche","INTERVENTIONAL","97","DRUG: Tociliuzumab","This study will assess the pharmacodynamics, pharmacokinetics, safety and efficacy of two different doses of tocilizumab (TCZ) in combination with standard-of-care (SOC) in hospitalized adult participants with moderate to severe COVID-19 pneumonia."
"NCT06404411","The Efficacy of Aerobic Exercise in the Rehabilitation of Patients With COVID-19-Related Myocardial Injury","UNKNOWN","N/A","2024-06-30","2025-12-30","Chengdu Sport University","INTERVENTIONAL","40","OTHER: Assigned interventions; OTHER: conventional rehabilitation","A study of the efficacy of aerobic exercise based on cardiopulmonary exercise test in the rehabilitation of patients with COVID-19-related myocardial injury"
"NCT05258734","The Effect of Mobile Health Application Based on Omaha System on Symptoms and Quality of Life in COVID-19 Patients","COMPLETED","N/A","2022-07-23","2022-10-29","Kocaeli University","INTERVENTIONAL","60","OTHER: COVOS app; OTHER: Standard Care","Purpose: The aim of this study is to evaluate the effects of nursing interventions made with a mobile health application (COVOS) developed based on the Omaha System on the physical, psychosocial and cognitive symptoms and quality of life of patients diagnosed with COVID-19, and continuing treatment at home.

Design: This is a single center, 1:1 randomized, single blind, parallel, active comparator trial.

Method: Standard Protocol Items: Recommendations for Interventional Trials (SPIRIT) Statement 2013 checklist used in study. The CONSORT (Consolidated Standards of Reporting Trials) flowchart is used in this protocol. This study will carried out in a family health center, located within the boundaries of İzmit District of Kocaeli province. The patients in the experimental group will be followed up with the COVOS app and nursing interventions (videos, information messages) to manage their symptoms will be directed with the COVOS app. The patients in the control group will not receive any intervention, the standard follow-up and health care provided by the family health center of the patients will continue.

Hypothesis: In patients diagnosed with COVID-19 followed at home with COVOS, symptom management and quality of life will be better in 1st, 2nd and 3rd months compared to the control group."
"NCT04473898","Telerehabilitation After Coronavirus","COMPLETED","N/A","2020-06-19","2021-02-17","KTO Karatay University","INTERVENTIONAL","35","OTHER: Aerobic Exercise Training; BEHAVIORAL: Patient Education; OTHER: Respiratory Exercise Training","The aim of the study is to investigate the effects of telerehabilitation program on COVID-19 symptoms, quality of life, level of depression, perception of dyspnea, sleep, fatigue, kinesiophobia and patient satisfaction in individuals diagnosed with COVID-19."
"NCT05142306","A COVID-19 Study to Evaluate Safety and PK of COVID-HIG Administered Through IM, SC, or IV Routes to SARS-CoV-2 Uninfected Adults","COMPLETED","Phase 1","2021-12-07","2022-05-31","Emergent BioSolutions","INTERVENTIONAL","23","BIOLOGICAL: COVID-HIG","The primary objectives of this open-label trial were to evaluate the safety and pharmacokinetics (PK) of Anti-SARS-CoV-2 Immunoglobulin (Human) Investigational Product (COVID-HIG) administered intramuscularly (IM), subcutaneously (SC), or intravenously (IV) as a single dose in healthy adults 18-59 years of age with body mass index ≤35 kg/m\^2. Prior studies examined IV administration, and the secondary objective of the present study was to compare PK among the three administration routes. No placebo group was included in the phase 1 randomized design. The exploratory objective was to evaluate disease severity in participants that became positive for SARS-CoV-2."
"NCT04454606","The New Silicone N99 Half-Piece Respirator","COMPLETED","N/A","2020-05-01","2020-05-31","Bangkok Metropolitan Administration Medical College and Vajira Hospital","INTERVENTIONAL","43","DEVICE: Fit test; DEVICE: Filtration Test","Filter facepiece respirator (FFR) is a critical equipment to prevent the transmission of respiratory tract infection disease especially the dreadful corona virus 2(SARs-CoV-2).The N95 mask is the prototype of high efficiency protective device and can effectively protect airborne pathogens of less than 0.3 μm by more than 95%. It is tightly fit and had high filtration capacity. The widespread pandemic of COVID-19 leads to greater requirement of FFR. A rising in demand would greatly exceed current productive capabilities and stockpiles and would almost certainly result in a robust shortage.

In order to solve these problems, our team had invented a new type of half-piece respirator made from silicone and assembled with hepa or elastostatic filter . A variety of methods have been used to evaluate this new device, including qualitative fit test with Bitrex® test kit and filtration test."
"NCT04480333","Safety, Tolerability and Pharmacokinetics of Inhaled Nanoparticle Formulation of Remdesivir (GS-5734) and NA-831","UNKNOWN","Phase 1","2020-09-15","2021-03-31","Biomed Industries, Inc.","INTERVENTIONAL","45","DRUG: Drug: NA-831 - 0.10 mg/kg; DRUG: Placebo- 0.10 mg/kg; DRUG: Drug: NA-831 - 0.20 mg/kg; DRUG: Placebo- 0.20 mg/kg; DRUG: Drug: GS-5734 - 1.00 mg/kg; DRUG: Placebo- 1.00 mg/kg; DRUG: Drug: GS-5734 - 2.00 mg/kg; DRUG: Placebo- 2.00 mg/kg; COMBINATION_PRODUCT: Drugs: NA-831 (0.10 mg/kg) plus GS-5734 (1.00 mg/kg); COMBINATION_PRODUCT: Placebo 0.10 mg + 1.00 mg/kg; COMBINATION_PRODUCT: Drugs: NA-831 (0.20 mg/kg) plus GS-5734 (2.00 mg/kg); COMBINATION_PRODUCT: Placebo 0.20 mg + 2.00 mg/kg","The clinical study is designed to evaluate the safety, tolerability and pharmacokinetics of inhaled nanoparticle nanoparticle formulation of Remdesivir (GS-5734) alone and in combination with NA-831 in 48 healthy volunteers."
"NCT04598347","Evaluation of the Possible Vertical Transmission of SARS-CoV-2 Through Study of Amniotic Fluid and Chorionic Villi of Affected Pregnant Women for the COVID-19","UNKNOWN","","2020-08-08","2022-01-23","Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","OBSERVATIONAL","225","","Longitudinal prospective study in pregnant women withpositive serology or PCR for SARS-CoV-2 and indicationinvasive technique (amniocentesis or chorionic biopsy) that has the objective to evaluate the possible vertical transmission of SARS-CoV-2in the amniotic fluid or chorionic villi of pregnant women affected by coronavirus in the different periods of gestation."
"NCT04632355","Musculoskeletal Pain in Patients With Covid-19 Who Have Hospital Care","UNKNOWN","","2020-12-01","2021-07-31","Fondazione Don Carlo Gnocchi Onlus","OBSERVATIONAL","100","OTHER: Interview","Worldwide, the COVID-19 pandemic continues to grow. Although COVID-19 mainly affects the lungs and internal organs, musculoskeletal injury from this disease was reported with the presentation of marked elevation in creatine kinase and lactate dehydrogenase levels. Patients with post-acute COVID-19 are considered patients with a post-intensive syndrome (PICS) that results in loss of functional independence.

In the physical and rehabilitation medical field, various modalities with therapeutic exercise can be used to manage pain by a physical therapist and psychiatrist.

Pain management is particularly important during the COVID-19 pandemic because of the reduced accessibility to hospitals and medical resources."
"NCT04903132","Cellular Senescence and COVID-19 Long-Hauler Syndrome","ACTIVE_NOT_RECRUITING","","2021-03-01","2026-12","Mayo Clinic","OBSERVATIONAL","200","","The purpose of this study is to test if senescent cells and their secretome contribute to Long-Hauler Syndrome and if a clinical trial of senolytic drugs, which selectively eliminate senescent cells, should be initiated."